                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2463,                 2.1035,                 1.0555,                0.97048,                0.98279,                0.99424,                0.77208,                0.89012,                0.95559,                 0.8634,             0.00030139,             0.00030139,             0.00030139
                      2,                0.81903,                0.78161,                0.88824,                0.97812,                0.98859,                0.99374,                  0.784,                0.81241,                0.59944,                0.84647,             0.00058444,             0.00058444,             0.00058444
                      3,                0.76476,                 0.6712,                0.86981,                 0.9938,                0.99907,                  0.995,                0.82001,                0.74432,                0.50896,                 0.8255,              0.0008475,              0.0008475,              0.0008475
                      4,                0.75472,                0.61386,                0.86263,                0.99544,                      1,                  0.995,                0.80779,                0.72383,                0.49283,                0.82815,             0.00081901,             0.00081901,             0.00081901
                      5,                 0.6843,                0.56147,                0.85242,                0.99409,                      1,                  0.995,                0.82961,                0.78449,                0.48448,                0.82325,             0.00078901,             0.00078901,             0.00078901
                      6,                0.65176,                0.51262,                0.84695,                0.99684,                      1,                  0.995,                 0.8288,                0.73666,                 0.4539,                0.81795,             0.00075902,             0.00075902,             0.00075902
                      7,                0.64724,                0.49036,                0.84359,                 0.9961,                0.99994,                  0.995,                0.84942,                0.63828,                0.41358,                0.81373,             0.00072902,             0.00072902,             0.00072902
                      8,                0.62395,                0.46145,                0.84178,                0.99287,                0.99885,                0.99492,                0.84229,                0.75704,                0.43422,                0.82137,             0.00069902,             0.00069902,             0.00069902
                      9,                0.60095,                0.44019,                0.83552,                0.99795,                0.99864,                  0.995,                0.87082,                0.64763,                0.40702,                0.81433,             0.00066902,             0.00066902,             0.00066902
                     10,                0.59513,                0.43144,                  0.836,                 0.9947,                      1,                  0.995,                0.87444,                0.59868,                0.39065,                0.80679,             0.00063903,             0.00063903,             0.00063903
                     11,                0.57578,                0.41167,                0.83231,                0.99728,                0.99912,                  0.995,                0.88271,                0.63492,                0.38731,                  0.809,             0.00060903,             0.00060903,             0.00060903
                     12,                0.57004,                0.40286,                0.83183,                0.99735,                0.99916,                  0.995,                0.88624,                0.61206,                0.37729,                0.80232,             0.00057903,             0.00057903,             0.00057903
                     13,                0.56175,                0.39297,                0.82944,                0.99547,                      1,                  0.995,                0.88311,                0.63368,                0.36135,                0.80305,             0.00054904,             0.00054904,             0.00054904
                     14,                0.55347,                0.38261,                0.82846,                0.99768,                0.99868,                  0.995,                0.89838,                 0.5973,                0.35391,                0.80259,             0.00051904,             0.00051904,             0.00051904
                     15,                0.55981,                 0.3831,                0.82995,                0.99764,                0.99973,                  0.995,                0.88879,                0.56379,                0.34161,                0.79898,             0.00048904,             0.00048904,             0.00048904
                     16,                0.53552,                 0.3711,                0.82364,                0.99691,                0.99984,                  0.995,                0.89078,                0.55824,                0.33237,                0.79627,             0.00045904,             0.00045904,             0.00045904
                     17,                0.53269,                0.36499,                0.82431,                0.99753,                      1,                  0.995,                0.89239,                0.61361,                0.33997,                 0.7985,             0.00042905,             0.00042905,             0.00042905
                     18,                0.52106,                0.35418,                0.82129,                0.99777,                0.99919,                  0.995,                0.89745,                0.55384,                0.31849,                0.79518,             0.00039905,             0.00039905,             0.00039905
                     19,                 0.5132,                0.34989,                0.82104,                0.99749,                0.99933,                  0.995,                0.90268,                0.52152,                  0.306,                0.79717,             0.00036905,             0.00036905,             0.00036905
                     20,                0.50581,                0.34154,                0.82085,                0.99787,                      1,                  0.995,                0.90591,                0.55285,                0.30238,                0.79307,             0.00033906,             0.00033906,             0.00033906
                     21,                0.49406,                0.33633,                0.80784,                0.99863,                      1,                  0.995,                 0.8999,                0.57276,                0.32662,                0.79894,             0.00030906,             0.00030906,             0.00030906
                     22,                0.47796,                 0.3214,                 0.8043,                0.99673,                      1,                  0.995,                0.90326,                0.53762,                0.31651,                0.79348,             0.00027906,             0.00027906,             0.00027906
                     23,                0.46959,                0.31673,                0.80256,                0.99837,                      1,                  0.995,                0.91378,                0.49176,                0.29441,                 0.7928,             0.00024907,             0.00024907,             0.00024907
                     24,                0.45348,                0.30288,                0.80248,                0.99705,                      1,                  0.995,                0.90752,                0.60851,                0.31558,                0.79506,             0.00021907,             0.00021907,             0.00021907
                     25,                0.44726,                0.29781,                0.80113,                0.99794,                      1,                  0.995,                0.90525,                0.55158,                0.31281,                0.79372,             0.00018907,             0.00018907,             0.00018907
                     26,                 0.4406,                0.29462,                0.79947,                 0.9984,                      1,                  0.995,                0.91228,                0.52762,                0.28549,                0.79101,             0.00015907,             0.00015907,             0.00015907
                     27,                0.43444,                0.28958,                0.79753,                0.99837,                      1,                  0.995,                0.91667,                0.54024,                0.28841,                0.79314,             0.00012908,             0.00012908,             0.00012908
                     28,                0.42633,                0.28335,                0.79647,                0.99854,                      1,                  0.995,                0.92194,                0.52066,                0.28307,                0.79055,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                0.41994,                0.27684,                0.79531,                0.99861,                      1,                  0.995,                0.92075,                0.52435,                0.27994,                0.78998,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.41103,                 0.2723,                 0.7947,                0.99857,                0.99994,                  0.995,                0.91798,                0.53749,                0.28262,                0.79072,             3.9087e-05,             3.9087e-05,             3.9087e-05
